network_code,metric,timestamp,value
NEM,price,2025-10-01 00:00:00+10:00,25.796
NEM,price,2025-10-01 00:05:00+10:00,29.506
NEM,price,2025-10-01 00:10:00+10:00,26.118
NEM,price,2025-10-01 00:15:00+10:00,34.272
NEM,price,2025-10-01 00:20:00+10:00,29.218
NEM,price,2025-10-01 00:25:00+10:00,27.264
NEM,price,2025-10-01 00:30:00+10:00,26.718
NEM,price,2025-10-01 00:35:00+10:00,25.904
NEM,price,2025-10-01 00:40:00+10:00,26.696
NEM,price,2025-10-01 00:45:00+10:00,26.11
NEM,price,2025-10-01 00:50:00+10:00,28.712
NEM,price,2025-10-01 00:55:00+10:00,25.964
NEM,price,2025-10-01 01:00:00+10:00,25.89
NEM,price,2025-10-01 01:05:00+10:00,26.968
NEM,price,2025-10-01 01:10:00+10:00,30.086
NEM,price,2025-10-01 01:15:00+10:00,24.842
NEM,price,2025-10-01 01:20:00+10:00,25.464
NEM,price,2025-10-01 01:25:00+10:00,22.418
NEM,price,2025-10-01 01:30:00+10:00,23.128
NEM,price,2025-10-01 01:35:00+10:00,24.62
NEM,price,2025-10-01 01:40:00+10:00,26.976
NEM,price,2025-10-01 01:45:00+10:00,23.97
NEM,price,2025-10-01 01:50:00+10:00,23.962
NEM,price,2025-10-01 01:55:00+10:00,21.684
NEM,price,2025-10-01 02:00:00+10:00,18.706
NEM,price,2025-10-01 02:05:00+10:00,21.96
NEM,price,2025-10-01 02:10:00+10:00,24.67
NEM,price,2025-10-01 02:15:00+10:00,22.46
NEM,price,2025-10-01 02:20:00+10:00,19.132
NEM,price,2025-10-01 02:25:00+10:00,17.098
NEM,price,2025-10-01 02:30:00+10:00,17.204
NEM,price,2025-10-01 02:35:00+10:00,20.694
NEM,price,2025-10-01 02:40:00+10:00,21.256
NEM,price,2025-10-01 02:45:00+10:00,17.336
NEM,price,2025-10-01 02:50:00+10:00,18.242
NEM,price,2025-10-01 02:55:00+10:00,17.194
NEM,price,2025-10-01 03:00:00+10:00,16.664
NEM,price,2025-10-01 03:05:00+10:00,15.588
NEM,price,2025-10-01 03:10:00+10:00,17.352
NEM,price,2025-10-01 03:15:00+10:00,16.098
NEM,price,2025-10-01 03:20:00+10:00,20.99
NEM,price,2025-10-01 03:25:00+10:00,16.262
NEM,price,2025-10-01 03:30:00+10:00,17.258
NEM,price,2025-10-01 03:35:00+10:00,17.242
NEM,price,2025-10-01 03:40:00+10:00,17.702
NEM,price,2025-10-01 03:45:00+10:00,20.194
NEM,price,2025-10-01 03:50:00+10:00,17.07
NEM,price,2025-10-01 03:55:00+10:00,18.882
NEM,price,2025-10-01 04:00:00+10:00,18.954
NEM,price,2025-10-01 04:05:00+10:00,18.674
NEM,price,2025-10-01 04:10:00+10:00,18.64
NEM,price,2025-10-01 04:15:00+10:00,19.216
NEM,price,2025-10-01 04:20:00+10:00,18.674
NEM,price,2025-10-01 04:25:00+10:00,18.656
NEM,price,2025-10-01 04:30:00+10:00,18.656
NEM,price,2025-10-01 04:35:00+10:00,18.664
NEM,price,2025-10-01 04:40:00+10:00,18.898
NEM,price,2025-10-01 04:45:00+10:00,22.36
NEM,price,2025-10-01 04:50:00+10:00,22.342
NEM,price,2025-10-01 04:55:00+10:00,22.368
NEM,price,2025-10-01 05:00:00+10:00,22.376
NEM,price,2025-10-01 05:05:00+10:00,19.108
NEM,price,2025-10-01 05:10:00+10:00,24.654
NEM,price,2025-10-01 05:15:00+10:00,25.284
NEM,price,2025-10-01 05:20:00+10:00,
NEM,price,2025-10-01 05:25:00+10:00,
NEM,price,2025-10-01 05:30:00+10:00,
NEM,price,2025-10-01 05:35:00+10:00,
NEM,price,2025-10-01 05:40:00+10:00,
NEM,price,2025-10-01 05:45:00+10:00,
NEM,price,2025-10-01 05:50:00+10:00,22.11
NEM,price,2025-10-01 05:55:00+10:00,23.008
NEM,price,2025-10-01 06:00:00+10:00,25.376
NEM,price,2025-10-01 06:05:00+10:00,9.7
NEM,price,2025-10-01 06:10:00+10:00,23.008
NEM,price,2025-10-01 06:15:00+10:00,23.028
NEM,price,2025-10-01 06:20:00+10:00,22.994
NEM,price,2025-10-01 06:25:00+10:00,13.564
NEM,price,2025-10-01 06:30:00+10:00,9.034
NEM,price,2025-10-01 06:35:00+10:00,9.6
NEM,price,2025-10-01 06:40:00+10:00,9.592
NEM,price,2025-10-01 06:45:00+10:00,9.422
NEM,price,2025-10-01 06:50:00+10:00,5.578
NEM,price,2025-10-01 06:55:00+10:00,-7.428
NEM,price,2025-10-01 07:00:00+10:00,-6.836
NEM,price,2025-10-01 07:05:00+10:00,1.12
NEM,price,2025-10-01 07:10:00+10:00,
NEM,price,2025-10-01 07:15:00+10:00,
NEM,price,2025-10-01 07:20:00+10:00,
NEM,price,2025-10-01 07:25:00+10:00,
NEM,price,2025-10-01 07:30:00+10:00,
NEM,price,2025-10-01 07:35:00+10:00,
NEM,price,2025-10-01 07:40:00+10:00,
NEM,price,2025-10-01 07:45:00+10:00,-5.556
NEM,price,2025-10-01 07:50:00+10:00,0.904
NEM,price,2025-10-01 07:55:00+10:00,-10.596
NEM,price,2025-10-01 08:00:00+10:00,-13.256
NEM,price,2025-10-01 08:05:00+10:00,-9.158
NEM,price,2025-10-01 08:10:00+10:00,-5.69
NEM,price,2025-10-01 08:15:00+10:00,-7.696
NEM,price,2025-10-01 08:20:00+10:00,-8.428
NEM,price,2025-10-01 08:25:00+10:00,-9.988
NEM,price,2025-10-01 08:30:00+10:00,-8.316
NEM,price,2025-10-01 08:35:00+10:00,-7.022
NEM,price,2025-10-01 08:40:00+10:00,-6.886
NEM,price,2025-10-01 08:45:00+10:00,-9.188
NEM,price,2025-10-01 08:50:00+10:00,-7.74
NEM,price,2025-10-01 08:55:00+10:00,-8.666
NEM,price,2025-10-01 09:00:00+10:00,-14.676
NEM,price,2025-10-01 09:05:00+10:00,-8.738
NEM,price,2025-10-01 09:10:00+10:00,-4.252
NEM,price,2025-10-01 09:15:00+10:00,-16.814
NEM,price,2025-10-01 09:20:00+10:00,-13.798
NEM,price,2025-10-01 09:25:00+10:00,-9.654
NEM,price,2025-10-01 09:30:00+10:00,-8.674
NEM,price,2025-10-01 09:35:00+10:00,-8.542
NEM,price,2025-10-01 09:40:00+10:00,-12.81
NEM,price,2025-10-01 09:45:00+10:00,-8.664
NEM,price,2025-10-01 09:50:00+10:00,-8.452
NEM,price,2025-10-01 09:55:00+10:00,-9.63
NEM,price,2025-10-01 10:00:00+10:00,-9.612
NEM,price,2025-10-01 10:05:00+10:00,-12.37
NEM,price,2025-10-01 10:10:00+10:00,-8.526
NEM,price,2025-10-01 10:15:00+10:00,-9.648
NEM,price,2025-10-01 10:20:00+10:00,-10.676
NEM,price,2025-10-01 10:25:00+10:00,-11.646
NEM,price,2025-10-01 10:30:00+10:00,-10.298
NEM,price,2025-10-01 10:35:00+10:00,-9.39
NEM,price,2025-10-01 10:40:00+10:00,-11.614
NEM,price,2025-10-01 10:45:00+10:00,-13.246
NEM,price,2025-10-01 10:50:00+10:00,-6.12
NEM,price,2025-10-01 10:55:00+10:00,-9.382
NEM,price,2025-10-01 11:00:00+10:00,-13.86
NEM,price,2025-10-01 11:05:00+10:00,-11.224
NEM,price,2025-10-01 11:10:00+10:00,-10.206
NEM,price,2025-10-01 11:15:00+10:00,-9.354
NEM,price,2025-10-01 11:20:00+10:00,-10.258
NEM,price,2025-10-01 11:25:00+10:00,-10.166
NEM,price,2025-10-01 11:30:00+10:00,-15.562
NEM,price,2025-10-01 11:35:00+10:00,-5.308
NEM,price,2025-10-01 11:40:00+10:00,-9.574
NEM,price,2025-10-01 11:45:00+10:00,-9.148
NEM,price,2025-10-01 11:50:00+10:00,-11.104
NEM,price,2025-10-01 11:55:00+10:00,-6.232
NEM,price,2025-10-01 12:00:00+10:00,-4.896
NEM,price,2025-10-01 12:05:00+10:00,-8.874
NEM,price,2025-10-01 12:10:00+10:00,-4.86
NEM,price,2025-10-01 12:15:00+10:00,-12.512
NEM,price,2025-10-01 12:20:00+10:00,-9.142
NEM,price,2025-10-01 12:25:00+10:00,-9.512
NEM,price,2025-10-01 12:30:00+10:00,-10.394
NEM,price,2025-10-01 12:35:00+10:00,-12.358
NEM,price,2025-10-01 12:40:00+10:00,-11.522
NEM,price,2025-10-01 12:45:00+10:00,-11.834
NEM,price,2025-10-01 12:50:00+10:00,-5.798
NEM,price,2025-10-01 12:55:00+10:00,-10.108
NEM,price,2025-10-01 13:00:00+10:00,-11.522
NEM,price,2025-10-01 13:05:00+10:00,-10.748
NEM,price,2025-10-01 13:10:00+10:00,-4.886
NEM,price,2025-10-01 13:15:00+10:00,-9.64
NEM,price,2025-10-01 13:20:00+10:00,-3.602
NEM,price,2025-10-01 13:25:00+10:00,-2.888
NEM,price,2025-10-01 13:30:00+10:00,-6.264
NEM,price,2025-10-01 13:35:00+10:00,-2.056
NEM,price,2025-10-01 13:40:00+10:00,-2.43
NEM,price,2025-10-01 13:45:00+10:00,-8.832
NEM,price,2025-10-01 13:50:00+10:00,-7.748
NEM,price,2025-10-01 13:55:00+10:00,-9.122
NEM,price,2025-10-01 14:00:00+10:00,-11.302
NEM,price,2025-10-01 14:05:00+10:00,3.026
NEM,price,2025-10-01 14:10:00+10:00,-2.346
NEM,price,2025-10-01 14:15:00+10:00,-7.37
NEM,price,2025-10-01 14:20:00+10:00,-1.428
NEM,price,2025-10-01 14:25:00+10:00,6.256
NEM,price,2025-10-01 14:30:00+10:00,6.274
NEM,price,2025-10-01 14:35:00+10:00,1.156
NEM,price,2025-10-01 14:40:00+10:00,2.044
NEM,price,2025-10-01 14:45:00+10:00,6.702
NEM,price,2025-10-01 14:50:00+10:00,6.534
NEM,price,2025-10-01 14:55:00+10:00,13.412
NEM,price,2025-10-01 15:00:00+10:00,9.522
NEM,price,2025-10-01 15:05:00+10:00,3.36
NEM,price,2025-10-01 15:10:00+10:00,8.786
NEM,price,2025-10-01 15:15:00+10:00,-6.808
NEM,price,2025-10-01 15:20:00+10:00,-8.862
NEM,price,2025-10-01 15:25:00+10:00,-7.938
NEM,price,2025-10-01 15:30:00+10:00,-2.01
NEM,price,2025-10-01 15:35:00+10:00,5.064
NEM,price,2025-10-01 15:40:00+10:00,3.418
NEM,price,2025-10-01 15:45:00+10:00,3.194
NEM,price,2025-10-01 15:50:00+10:00,3.304
NEM,price,2025-10-01 15:55:00+10:00,12.058
NEM,price,2025-10-01 16:00:00+10:00,11.958
NEM,price,2025-10-01 16:05:00+10:00,4.432
NEM,price,2025-10-01 16:10:00+10:00,6.19
NEM,price,2025-10-01 16:15:00+10:00,9.28
NEM,price,2025-10-01 16:20:00+10:00,15.418
NEM,price,2025-10-01 16:25:00+10:00,19.26
NEM,price,2025-10-01 16:30:00+10:00,16.738
NEM,price,2025-10-01 16:35:00+10:00,12.144
NEM,price,2025-10-01 16:40:00+10:00,13.696
NEM,price,2025-10-01 16:45:00+10:00,15.066
NEM,price,2025-10-01 16:50:00+10:00,28.1
NEM,price,2025-10-01 16:55:00+10:00,20.794
NEM,price,2025-10-01 17:00:00+10:00,33.004
NEM,price,2025-10-01 17:05:00+10:00,36.18
NEM,price,2025-10-01 17:10:00+10:00,15.862
NEM,price,2025-10-01 17:15:00+10:00,21.328
NEM,price,2025-10-01 17:20:00+10:00,37.8
NEM,price,2025-10-01 17:25:00+10:00,39.33
NEM,price,2025-10-01 17:30:00+10:00,53.4
NEM,price,2025-10-01 17:35:00+10:00,60.73
NEM,price,2025-10-01 17:40:00+10:00,42.49
NEM,price,2025-10-01 17:45:00+10:00,53.76
NEM,price,2025-10-01 17:50:00+10:00,50.562
NEM,price,2025-10-01 17:55:00+10:00,50.824
NEM,price,2025-10-01 18:00:00+10:00,56.89
NEM,price,2025-10-01 18:05:00+10:00,66.756
NEM,price,2025-10-01 18:10:00+10:00,48.5
NEM,price,2025-10-01 18:15:00+10:00,58.428
NEM,price,2025-10-01 18:20:00+10:00,62.052
NEM,price,2025-10-01 18:25:00+10:00,43.492
NEM,price,2025-10-01 18:30:00+10:00,58.11
NEM,price,2025-10-01 18:35:00+10:00,53.468
NEM,price,2025-10-01 18:40:00+10:00,52.506
NEM,price,2025-10-01 18:45:00+10:00,44.904
NEM,price,2025-10-01 18:50:00+10:00,42.104
NEM,price,2025-10-01 18:55:00+10:00,59.062
NEM,price,2025-10-01 19:00:00+10:00,59.626
NEM,price,2025-10-01 19:05:00+10:00,40.09
NEM,price,2025-10-01 19:10:00+10:00,50.306
NEM,price,2025-10-01 19:15:00+10:00,45.548
NEM,price,2025-10-01 19:20:00+10:00,38.106
NEM,price,2025-10-01 19:25:00+10:00,34.764
NEM,price,2025-10-01 19:30:00+10:00,42.628
NEM,price,2025-10-01 19:35:00+10:00,35.242
NEM,price,2025-10-01 19:40:00+10:00,42.836
NEM,price,2025-10-01 19:45:00+10:00,48.766
NEM,price,2025-10-01 19:50:00+10:00,50.658
NEM,price,2025-10-01 19:55:00+10:00,43.792
NEM,price,2025-10-01 20:00:00+10:00,38.522
NEM,price,2025-10-01 20:05:00+10:00,37.982
NEM,price,2025-10-01 20:10:00+10:00,41.604
NEM,price,2025-10-01 20:15:00+10:00,38.58
NEM,price,2025-10-01 20:20:00+10:00,37.29
NEM,price,2025-10-01 20:25:00+10:00,34.166
NEM,price,2025-10-01 20:30:00+10:00,34.706
NEM,price,2025-10-01 20:35:00+10:00,35.08
NEM,price,2025-10-01 20:40:00+10:00,40.162
NEM,price,2025-10-01 20:45:00+10:00,25.454
NEM,price,2025-10-01 20:50:00+10:00,27.936
NEM,price,2025-10-01 20:55:00+10:00,37.422
NEM,price,2025-10-01 21:00:00+10:00,26.902
NEM,price,2025-10-01 21:05:00+10:00,29.216
NEM,price,2025-10-01 21:10:00+10:00,35.176
NEM,price,2025-10-01 21:15:00+10:00,28.13
NEM,price,2025-10-01 21:20:00+10:00,27.536
NEM,price,2025-10-01 21:25:00+10:00,26.244
NEM,price,2025-10-01 21:30:00+10:00,23.972
NEM,price,2025-10-01 21:35:00+10:00,32.084
NEM,price,2025-10-01 21:40:00+10:00,27.136
NEM,price,2025-10-01 21:45:00+10:00,25.168
NEM,price,2025-10-01 21:50:00+10:00,28.658
NEM,price,2025-10-01 21:55:00+10:00,24.118
NEM,price,2025-10-01 22:00:00+10:00,27.362
NEM,price,2025-10-01 22:05:00+10:00,25.802
NEM,price,2025-10-01 22:10:00+10:00,37.116
NEM,price,2025-10-01 22:15:00+10:00,31.348
NEM,price,2025-10-01 22:20:00+10:00,28.104
NEM,price,2025-10-01 22:25:00+10:00,28.888
NEM,price,2025-10-01 22:30:00+10:00,27.382
NEM,price,2025-10-01 22:35:00+10:00,20.008
NEM,price,2025-10-01 22:40:00+10:00,24.48
NEM,price,2025-10-01 22:45:00+10:00,24.124
NEM,price,2025-10-01 22:50:00+10:00,25.818
NEM,price,2025-10-01 22:55:00+10:00,27.198
NEM,price,2025-10-01 23:00:00+10:00,22.542
NEM,price,2025-10-01 23:05:00+10:00,25.94
NEM,price,2025-10-01 23:10:00+10:00,31.088
NEM,price,2025-10-01 23:15:00+10:00,32.458
NEM,price,2025-10-01 23:20:00+10:00,26.442
NEM,price,2025-10-01 23:25:00+10:00,27.842
NEM,price,2025-10-01 23:30:00+10:00,32.296
NEM,price,2025-10-01 23:35:00+10:00,31.926
NEM,price,2025-10-01 23:40:00+10:00,27.864
NEM,price,2025-10-01 23:45:00+10:00,28.866
NEM,price,2025-10-01 23:50:00+10:00,29.632
NEM,price,2025-10-01 23:55:00+10:00,30.566
NEM,demand,2025-10-01 00:00:00+10:00,20451.93
NEM,demand,2025-10-01 00:05:00+10:00,20443.37
NEM,demand,2025-10-01 00:10:00+10:00,20391.13
NEM,demand,2025-10-01 00:15:00+10:00,20348.11
NEM,demand,2025-10-01 00:20:00+10:00,20213.93
NEM,demand,2025-10-01 00:25:00+10:00,20116.28
NEM,demand,2025-10-01 00:30:00+10:00,20000.71
NEM,demand,2025-10-01 00:35:00+10:00,19904.92
NEM,demand,2025-10-01 00:40:00+10:00,19914.37
NEM,demand,2025-10-01 00:45:00+10:00,19851.06
